Production,Year,Venue/type,Music,Lyrics,Book,Notes
The Umbrellas of Cherbourg,1964,Film,Michel Legrand,Legrand,Jacques Demy,
Urban Cowboy,2003,Broadway,Jason Robert Brown and Jeff Blumenkrantz,Robert Brown and Blumenkrantz,Aaron Latham and Phillip Oesterman,
Urinetown,2001,Broadway,Mark Hollmann,Hollman and Greg Kotis,Kotis,
USHERS: The Front of House Musical,2013,Off West End,Yiannis Koutsakos,James Oban,James Rottger,
The Utter Glory of Morrissey Hall,1979,Broadway,Clark Gesner,Gesner,Gesner and Nagle Jackson,
