Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Come from Away,2017,Broadway,Irene Sankoff and David Hein,Sankoff and Hein,Sankoff and Hein,,
Come Summer,1969,Broadway,David Baker,Will Holt,Holt,, 
Comin' Round the Mountain,1951,Film,Joseph Gershenson,Gershenson,Robert Lees and Frederic Riedel,,
The Commitments,2013,West End Jukebox,Various Artists,Various Artists,Roddy Doyle,Based on the 1987 novel of the same name.,
Company,1970,Broadway,Stephen Sondheim,Sondheim,George Furth,"Notable songs: ""The Ladies Who Lunch"", ""(Not) Getting Married Today"" and ""Being Alive"".",
Coney Island,1943,Film,Ralph Rainger,Leo Robin,George Seaton,,
A Connecticut Yankee,1927,Broadway,Richard Rodgers,Lorenz Hart,Herbert Fields,"Notable song: ""Thou Swell"".",
A Connecticut Yankee in King Arthur's Court,1949,Film,Jimmy Van Heusen,Johnny Burke,Edmund Beloin,,
The Conquering Hero,1961,Broadway,Moose Charlap,Norman Gimbel,Larry Gelbart,,
Contact,2000,Broadway,Various artists,Various artists,John Weidman,,
Conversation Piece,1934,West End,Noël Coward,Coward,Coward,,
Copacabana,1947,Film,Edward Ward,Ward,"László Vadnay, Allen Boretz and Howard Harris",,
Copacabana,1994,West End revue,Barry Manilow,Manilow,Manilo,,
Copper and Brass,1957,Broadway,David Baker,David Craig,Ellen Violett and Craig,,
Coraline,2009,Off-Broadway,Stephin Merritt,Merritt,David Greenspan,Based on Neil Gaiman's novella of the same name,
Corpse Bride,2005,Film,Danny Elfman,John August,"August, Caroline Thompson and Pamela Pettler",,
Cotton Patch Gospel,1981,Off-Broadway,Harry Chapin,Chapin,Tom Key and Russell Treyz,,
The Count of Luxembourg,1911,West End,Franz Lehár,Basil Hood and Adrian Ross,Hood and Ross,,
The Count of Monte Cristo,2009,German,Jack Murphy,Frank Wildhorn,Murphy,Twelve select songs are sung in English; contains influences from the 2002 film adaptation of the book.,
The Count of Monte Cristo,2016,Broadway,Jack Murphy,Frank Wildhorn,Murphy,American premiere; directed by Marcia Milgrom Dodge.,
Countess Maritza,1924,German,Emmerich Kálmán,Harry B. Smith,Julius Brammer and Alfred Grünwald,,
The Court Jester,1956,Film,Sylvia Fine,Sammy Cahn,Melvin Frank and Norman Panama,,
Cover Girl,1944,Film,Jerome Kern,Ira Gershwin and E. Y. Harburg,Virginia Van Upp,,
Cowardy Custard,1972,West End revue,Noël Coward,Coward,Coward,,
Cowboy from Brooklyn,1938,Film,Leo F. Forbstein,Adolph Deutsch,Robert Sloane and Louis Pelletier,,
Coyote Tales,1998,Off-Broadway,Henry Mollicone,Sheldon Harnick,Harnick,,
The Cradle Will Rock,1938,Broadway,Marc Blitzstein,Blitzstein,Blitzstein,,
Cranks,1956,Broadway revue,John Addison,John Cranko,—N/a,,
Crazy for You,1992,Broadway,George Gershwin,Ira Gershwin,Ken Ludwig,A revised version of Girl Crazy,
Crossroads,1986,Film,Ry Cooder,Cooder,John Fusco,,
Cruel Intentions,2015,Off-Broadway,Various,Various,"Roger Kumble, Jordan Ross, and Lindsey Rosin",Based on the 1999 film.,
"Cry-Baby 

+ film (1990)",2007,Broadway,Adam Schlesinger,David Javerbaum,Mark O'Donnell and Thomas Meehan,Based on the 1990 film of the same name.,
Cry for Us All,1970,Broadway,Mitch Leigh,William Alfred and Phyllis Robinson,Alfred and Albert Marre,,
Cuban Love Song,1931,Film,Herbert Stothart,Stothart,C. Gardner Sullivan and Bess Meredyth,,
The Cuckoos,1930,Film,Harry Ruby,Ruby,Guy Bolton and Bert Kalmar,,
The Curious Case of Benjamin Button,2019,Off-West End,Darren Clark,Darren Clark and Jethro Compton,Jethro Compton,Based on the 1922 short story of the same name,
Curley McDimple,1967,Off-Broadway,Robert Dahdah,Dahdah,Dahdah and Mary Boylan,,
Curtains,2007,Broadway,John Kander,Fred Ebb,Rupert Holmes,,
Cyrano,1973,Broadway,Michael J. Lewis,Anthony Burgess,Burgess,Based on Anthony Burgess's translation of the Edmond Rostand play Cyrano de Bergerac.,
Cyrano,1993,Broadway,Ad van Dijk,"Koen van Dijk, Peter Reeves and Sheldon Harnick",van Dijk,,
