Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Boop! The Musical,2023,Broadway,David Foster,Susan Birkenhead,Bob Martin,,
Boots and Saddles,1937,Film,Raoul Kraushaar,Kraushaar,Jack Natteford,,
Boots! Boots!,1934,Film,,,Jack Cottrell and George Formby,,
Born to Dance,1936,Film,Cole Porter,Porter,Jack McGowan and Sid Silvers,"Notable song: ""I've Got You Under My Skin"".",
Bottoms Up,1934,Film,Howard Jackson,Jackson,"David Buster, Buddy DeSylva and Sid Silvers",,
The Boy Friend,1954,West End,Sandy Wilson,Wilson,Wilson,,
The Boy from Oz,2003,Broadway,Peter Allen,Allen,Nick Enright and Martin Sherman,,
The Boy in the Dress,2019,British,"Robbie Williams, Guy Chambers and Chris Heath","Williams, Chambers and Heath",Mark Ravenhill,Based on David Walliams' children's book of the same name,
Boy Meets Boy,1975,Off-Broadway,Bill Solly,Solly,Solly and Donald Ward,,
The Boy Who Heard Music,2007,Workshop production,Pete Townshend and Rachel Fuller,Townshend and Fuller,Townshend,Adaptation of The Who's rock opera Wire and Glass.,
The Boys from Syracuse,1938,Broadway,Richard Rodgers,Lorenz Hart,George Abbott,"Notable songs: ""Falling in Love with Love"" and ""This Can't Be Love"".",
Bran Nue Dae,1990,Australian,Jimmy Chi and Kuckles,Chi and Kuckles,Chi and Kuckles,,
Bravo Giovanni,1962,Broadway,Milton Schafer,Ronny Graham,A. J. Russell,,
Breakfast at Tiffany's,1966,Broadway,Bob Merrill,Merrill,Edward Albee,Aimed at Broadway but closed during previews.,
Brewster's Millions,1935,Film,Marr Mackie,Mackie,Arthur Wimperis,,
The Bridges of Madison County,2014,Broadway,Jason Robert Brown,Brown,Marsha Norman,Based on the novel of the same name.,
Brigadoon,1947,Broadway,Frederick Loewe,Alan Jay Lerner,Lerner,"Notable song: ""Almost Like Being in Love"".",
Bright Eyes,1934,Film,Richard A. Whiting and Samuel Kaylin,Whiting and Kaylin,William Conselman,,
"Bright Lights, Big City",2004,Off-Broadway,Paul Scott Goodman,Goodman,Goodman,,
Bright Lights of 1944,1943,Broadway revue,Jerry Livingston,Mack David,Norman Anthony and Charles Sherman,,
Bright Star,2016,Broadway,Edie Brickell and Steve Martin,Edie Brickell,Steve Martin,,
Bring Back Birdie,1981,Broadway,Charles Strouse,Lee Adams,Michael Stewart,,
"Bring in 'da Noise, Bring in 'da Funk",1996,Broadway revue,"Daryl Waters, Zane Mark and Ann Duquesnay","Reg E. Gaines, George C. Wolfe and Duquesnay",Gaines,,
Bring It On,2012,Broadway,Lin-Manuel Miranda and Tom Kitt,Amanda Green and Miranda,Jeff Whitty,Based on the 2000 film.,
Bring on the Girls,1945,Film,Robert E. Dolan,Dolan,"Karl Tunberg, Darrell Ware and Pierre Wolff",,
Bring Your Smile Along,1955,Film,Paul Mason Howard,Howard,Blake Edwards and Richard Quine,,
Britannia of Billingsgate,1933,Film,Various artists,Various artists,Christine Jope-Slade and Sewell Stokes,,
Broadway Gondolier,1935,Film,Heinz Roemheld,Roemheld,"Sig Herzig, Yip Harburg and Hanns Kräly",,
Broadway Hostess,1935,Film,Ray Heindorf and Heinz Roemheld,Heindorf and Roemheld,George Bricker,,
The Broadway Melody,1929,Film,"Nacio Herb Brown, George M. Cohan and Willard Robison","Brown, Cohan and Robison","Edmund Goulding, Norman Houston and James Gleason",,
Broadway Melody of 1936,1935,Film,Nacio Herb Brown,Brown,"Harry W. Conn, Moss Hart, Jack McGowan and Sid Silvers",,
Broadway Melody of 1938,1937,Film,Nacio Herb Brown,Arthur Freed,Jack McGowan,,
Broadway Melody of 1940,1940,Film,"Cole Porter, Roger Edens and Walter Ruick","Porter, Edens and Ruick",Jack McGowan and Dore Schary,,
Broadway Through a Keyhole,1933,Film,Alfred Newman,Newman,C. Graham Baker and Gene Towne,,
A Broken Idol,1909,Broadway,Egbert Van Alstyne,Harry Williams,Hal Stephens,,
A Bronx Tale,2016,Broadway,Alan Menken,Glenn Slater,Chazz Palminteri,Based on the play of the same name.,
Brooklyn,2004,Broadway,Mark Schoenfeld and Barri McPherson,Schoenfeld and McPherson,Schoenfeld and McPherson,,
Bubble Boy,2013,American,Cinco Paul,Cinco Paul,Cinco Paul and Ken Daurio,Based on 2001 film Bubble Boy,
Bubbling Brown Sugar,1976,Broadway revue,Various artists,Various artists,Loften Mitchell,,
The Bubbly Black Girl Sheds Her Chameleon Skin,2000,Off-Broadway,Kirsten Childs,Kirsten Childs,Kirsten Childs,,
Buck Benny Rides Again,1940,Film,Victor Young,Young,"Arthur Stinger, Edmund Beloin and William Morrow",,
Buck Privates,1941,Film,Charles Previn,Previn,Arthur T. Horman,,
Buddies,1919,Broadway,B. C. Hilliam,Hilliam,George V. Hobart,,
Buddy – The Buddy Holly Story,1989,West End jukebox,Various artists,Various artists,—N/a,,
Buena Vista Social Club,2025,Broadway,Various artists,Various artists,Marco Ramirez,Based on the album of the same name.,
Bugs Bunny on Broadway,1990,Broadway,Carl Stalling and Milt Franklyn,Stalling and Franklyn,George Daugherty,Based on the TV series Looney Tunes.,
Bugsy Malone,1983,West End,Paul Williams,Williams,Alan Parker,"Based on the 1976 film of the same name. Notable songs: ""Fat Sam's Grand Slam"" and ""So You Wanna Be a Boxer?"".",
Bullets over Broadway,2014,Broadway revue,Various artists,Various artists,Woody Allen,Based on the film of the same name.,
Bumblescratch,2016,West End,Robert J. Sherman,Sherman,Sherman,"One night only, red-carpet gala, charity benefit performance at the Adelphi Theatre in benefit of the Variety Club of Great Britain, commemorating the 350th anniversary of the Great Fire of London in 1666. Notable songs: ""Music of the Spheres"", ""Adorable Me!"", ""Melbourne Bumblescratch"", ""At Least A Rat 'As Got An Excuse""",
Bundle of Joy,1956,Film,,,"Robert Carson, Norman Krasna, Arthur Sheekman and Felix Jackson",,
The Bunyip,1917,Australia,"Vince Courtney, Herbert De Pinna",,Ella Airlie,,
"Burlesque 

+ film (2010)",2024,Manchester/Glasgow,"Christina Aguilera, Sia, Diane Warren, Todrick Hall, and Jess Folley","Aguilera, Sia, Warren, Hall, and Folley",Steve Antin,,
Bus Stop,1956,Film,"Ken Darby, Cyril J. Mockridge, Alfred Newman and Lionel Newman","Darby, Mockridge, Newman and Newman",George Axelrod and William Inge,,
The Butcher Boy,2022,Off-Broadway,Asher Muldoon,Muldoon,Muldoon,Based on the novel of the same name by Patrick McCabe,
By Jeeves,1975,West End,Andrew Lloyd Webber,Alan Ayckbourn,Lloyd Webber and Ayckbourn,,
By Jupiter,1942,Broadway,Richard Rodgers,Lorenz Hart,Rodgers and Hart,Based on The Warrior's Husband by Julian F. Thompson.,
By the Beautiful Sea,1954,Broadway,Arthur Schwartz,Dorothy Fields,Herbert Fields and Fields,,
By the Light of the Silvery Moon,1953,Film,Gus Edwards and Max Steiner,Edwards and Steiner,Booth Tarkington,,
By the Way,1925,Off-Broadway revue,Vivian Ellis,Graham John,—N/a,,
Bye Bye Birdie,1960,Broadway,Charles Strouse,Lee Adams,Michael Stewart,"Notable songs: ""A Lot of Livin' to Do"", ""Kids"" and ""Put on a Happy Face"".",
